,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,name_type,Name_Fix
70,Thomas Russell,Thomas,Russell,Boston,Suffolk County,MA,US,town,Thomas Russell
71,David Trumbull,David,Trumbull,Lebanon,Windham County,CT,US,town,David Trumbull
72,Richard R Eliot,Richard R,Eliot,Watertown,Litchfield County,CT,US,town,Richard R Eliot
73,Andrew Huntington,andrew,Huntington,Norwich,New London County,CT,US,town,andrew Huntington
74,Hannah Huntington,Hannah,Huntington,Norwich,New London County,CT,US,town,Hannah Huntington
75,Pownal Deming | Pownal Deming III,Pownal,Deming,Hartford,Hartford County,CT,US,town,Pownal Deming | Pownal Deming Iii
75,Pownal Deming | Pownal Deming III,Pownal,Deming Iii,Hartford,Hartford County,CT,US,town,Pownal Deming | Pownal Deming Iii
76,Elijah Cowles,Elijah,Cowles,Farmington,Hartford County,CT,US,town,Elijah Cowles
77,Aaron Bull,Aaron,Bull,Hartford,Hartford County,CT,US,town,Aaron Bull
78,Charles Phelps,Charles,Phelps,Stonington,New London County,CT,US,town,Charles Phelps
79,Pierpont Bacon,Pierpont,Bacon,Colchester,New London County,CT,US,town,Pierpont Bacon
80,Elias Peck | Elias Peek,Elias,Peck,Colchester,New London County,CT,US,town,Elias Peck | Elias Peek
80,Elias Peck | Elias Peek,Elias,Peek,Colchester,New London County,CT,US,town,Elias Peck | Elias Peek
81,John Trumbull,John,Trumbull,Hartford,Hartford County,CT,US,town,John Trumbull
82,John Marsh,John,Marsh,Wethersfield,Hartford County,CT,US,town,John Marsh
83,Mary Porter,Mary,Porter,Wethersfield,Hartford County,CT,US,town,Mary Porter
84,John Warner,John,Warner,Wethersfield,Hartford County,CT,US,town,John Warner
85,Thaddeus Burr,Thaddeus,Burr,Fairfield,Fairfield County,CT,US,town,Thaddeus Burr
86,Samuel Bishop,Samuel,Bishop,Bolton,Tolland County,CT,US,town,Samuel Bishop
87,Augustus Collins,Augustus,Collins,Guilford,New Haven County,CT,US,town,Augustus Collins
88,Samuel Fitch,Samuel,Fitch,Guilford,New Haven County,CT,US,town,Samuel Fitch
89,Hannah Hawley | Hannah Howley,Hannah,Hawley,Fairfield,Fairfield County,CT,US,town,Hannah Hawley | Hannah Howley
89,Hannah Hawley | Hannah Howley,Hannah,Howley,Fairfield,Fairfield County,CT,US,town,Hannah Hawley | Hannah Howley
90,Samuel Penfield,Samuel,Penfield,Fairfield,Fairfield County,CT,US,town,Samuel Penfield
91,Levi Booth,Levi,Booth,Enfield,Hartford County,CT,US,town,Levi Booth
92,Joseph Caren,Joseph,Caren,Norwich,New London County,CT,US,town,Joseph Caren
93,John Don | John Dow,John,Don,Plainfield,Windham County,CT,US,town,John Don | John Dow
93,John Don | John Dow,John,Dow,Plainfield,Windham County,CT,US,town,John Don | John Dow
94,William Ellery,William,Ellery,Hartford,Hartford County,CT,US,town,William Ellery
95,John Dickinson,John,Dickinson,Middletown,Middlesex County,CT,US,town,John Dickinson
96,Levi Warner,Levi,Warner,Wethersfield,Hartford County,CT,US,town,Levi Warner
97,Aaron Cadwell II | Aaron Caldwell II,Aaron,Cadwell Ii,Hartford,Hartford County,CT,US,town,Aaron Cadwell Ii | Aaron Caldwell Ii
97,Aaron Cadwell II | Aaron Caldwell II,Aaron,Caldwell Ii,Hartford,Hartford County,CT,US,town,Aaron Cadwell Ii | Aaron Caldwell Ii
98,John Hale,John,Hale,Coventry,Tolland County,CT,US,town,John Hale
99,Samuel Talcott,Samuel,Talcott,Hartford,Hartford County,CT,US,town,Samuel Talcott
100,James Hillhouse,James,Hillhouse,New Haven,New Haven County,CT,US,town,James Hillhouse
102,Mary Hillhouse,Mary,Hillhouse,New Haven,New Haven County,CT,US,town,Mary Hillhouse
103,Stephen Potter,Stephen,Potter,,,NY,US,state,Stephen Potter
104,Rebecca Woolsey,Rebecca,Woolsey,Hebron,Tolland County,CT,US,town,Rebecca Woolsey
105,Theodocia Woolsey | Theodosia Woolsey,Theodocia,Woolsey,New Haven,New Haven County,CT,US,town,Theodocia Woolsey | Theodosia Woolsey
105,Theodocia Woolsey | Theodosia Woolsey,Theodosia,Woolsey,New Haven,New Haven County,CT,US,town,Theodocia Woolsey | Theodosia Woolsey
106,Simeon Avery,Simeon,Avery,Groton,New London County,CT,US,town,Simeon Avery
107,Lucy Chen,Lucy,Chen,New London,New London County,CT,US,town,Lucy Chen
108,William Talcott,William,Talcott,Hebron,Tolland County,CT,US,town,William Talcott
109,Willam F Miller | William Fowler Miller,Willam F,Miller,Farmington,Hartford County,CT,US,town,Willam F Miller | William Fowler Miller
109,Willam F Miller | William Fowler Miller,William Fowler,Miller,Farmington,Hartford County,CT,US,town,Willam F Miller | William Fowler Miller
110,Elijah Gridley,Elijah,Gridley,Mansfield Center,Tolland County,CT,US,town,Elijah Gridley
111,William Belcher,William,Belcher,Preston,New London County,CT,US,town,William Belcher
112,Philip Sellew | Philip Sellow,Philip,Sellew,Glastonbury,Hartford County,CT,US,town,Philip Sellew | Philip Sellow
112,Philip Sellew | Philip Sellow,Philip,Sellow,Glastonbury,Hartford County,CT,US,town,Philip Sellew | Philip Sellow
113,Eunice and Betsey Wadsworth,Betsey,Wadsworth,Hartford,Hartford County,CT,US,town,Betsey Wadsworth | Eunice Wadsworth
113,Eunice and Betsey Wadsworth,Eunice,Wadsworth,Hartford,Hartford County,CT,US,town,Betsey Wadsworth | Eunice Wadsworth
114,Joshua Belden and James Wells,James,Wells,Wethersfield,Hartford County,CT,US,town,James Wells | Joshua Belden
114,Joshua Belden and James Wells,Joshua,Belden,Wethersfield,Hartford County,CT,US,town,James Wells | Joshua Belden
115,William Hart,William,Hart,Old Saybrook,Middlesex County,CT,US,town,William Hart
116,Saul Alvord,Saul,Alvord,Bolton,Tolland County,CT,US,town,Saul Alvord
117,Lemuel Bruswell,Lemuel,Bruswell,Norwich,New London County,CT,US,town,Lemuel Bruswell
118,Wheeler Coit | Wheeler Coit Treasurer Preston Co | Wheeler Coit Treasurer of Preston Society Coit Treasurer of Preston Society,Wheeler,Coit,Preston,New London County,CT,US,town,Wheeler Coit
119,Benjamin Throop | Benjamin Troop,Benjamin,Throop,Bozrah,New London County,CT,US,town,Benjamin Throop | Benjamin Troop
119,Benjamin Throop | Benjamin Troop,Benjamin,Troop,Bozrah,New London County,CT,US,town,Benjamin Throop | Benjamin Troop
120,John Humphrey,John,Humphrey,Derby,New Haven County,CT,US,town,John Humphrey
122,Jeremiah Mason,Jeremiah,Mason,Lebanon,Windham County,CT,US,town,Jeremiah Mason
123,Edmund Wells,Edmund,Wells,,,NY,US,state,Edmund Wells
124,Simeon Huntington | Simon Huntington,Simeon,Huntington,Norwich,New London County,CT,US,town,Simeon Huntington | Simon Huntington
124,Simeon Huntington | Simon Huntington,Simon,Huntington,Norwich,New London County,CT,US,town,Simeon Huntington | Simon Huntington
125,James Hyde,James,Hyde,Norwich,New London County,CT,US,town,James Hyde
126,Mehitabel Waterman,Mehitabel,Waterman,Norwich,New London County,CT,US,town,Mehitabel Waterman
127,Abigail Robbins,Abigail,Robbins,Wethersfield,Hartford County,CT,US,town,Abigail Robbins
128,Elijah Robbins,Elijah,Robbins,Wethersfield,Hartford County,CT,US,town,Elijah Robbins
129,Oliver Goodrich,Oliver,Goodrich,Wethersfield,Hartford County,CT,US,town,Oliver Goodrich
130,Josiah Allyn,Josiah,Allyn,Windsor,Hartford County,CT,US,town,Josiah Allyn
131,Daniel Bennett,Daniel,Bennett,Shelton,Fairfield County,CT,US,town,Daniel Bennett
132,Jesse Bolles,Jesse,Bolles,Woodstock,Windham County,CT,US,town,Jesse Bolles
133,Samuel Frary,Samuel,Frary,Middletown,Middlesex County,CT,US,town,Samuel Frary
134,Joseph Badcock,Joseph,Badcock,Windham,Windham County,CT,US,town,Joseph Badcock
135,Elias Mason,Elias,Mason,Woodstock,Windham County,CT,US,town,Elias Mason
136,Abel Patchen,Abel,Patchen,Sharon,Litchfield County,CT,US,town,Abel Patchen
137,Jeremiah Platt,Jeremiah,Platt,New Haven,New Haven County,CT,US,town,Jeremiah Platt
138,Nathan Weed,Nathan,Weed,Stamford,Fairfield County,CT,US,town,Nathan Weed
139,Anne Brooker,Anne,Brooker,Stamford,Fairfield County,CT,US,town,Anne Brooker
140,Comfort Clock | Comfrot Clock,Comfort,Clock,Stamford,Fairfield County,CT,US,town,Comfort Clock | Comfrot Clock
140,Comfort Clock | Comfrot Clock,Comfrot,Clock,Stamford,Fairfield County,CT,US,town,Comfort Clock | Comfrot Clock
141,David Hoyt,David,Hoyt,Stamford,Fairfield County,CT,US,town,David Hoyt
142,Thaddeus Weed,Thaddeus,Weed,Stamford,Fairfield County,CT,US,town,Thaddeus Weed
143,David Waterbury,David,Waterbury,Stamford,Fairfield County,CT,US,town,David Waterbury
144,Nathaniel Webb,Nathaniel,Webb,Stamford,Fairfield County,CT,US,town,Nathaniel Webb
145,Samuel Hutton,Samuel,Hutton,Stamford,Fairfield County,CT,US,town,Samuel Hutton
146,Smith Weed,Smith,Weed,Stamford,Fairfield County,CT,US,town,Smith Weed
147,William Higgins,William,Higgins,East Lyme,New London County,CT,US,town,William Higgins
148,Robert C Johnson,Robert C,Johnson,Stratford,Fairfield County,CT,US,town,Robert C Johnson
149,Hezekiah Chaffee,Hezekiah,Chaffee,Windsor,Hartford County,CT,US,town,Hezekiah Chaffee
150,John Chaffee,John,Chaffee,Windsor,Hartford County,CT,US,town,John Chaffee
151,Joseph Colton | Joseph Cotton,Joseph,Colton,Hartford,Hartford County,CT,US,town,Joseph Colton | Joseph Cotton
151,Joseph Colton | Joseph Cotton,Joseph,Cotton,Hartford,Hartford County,CT,US,town,Joseph Colton | Joseph Cotton
152,Jeremiah Ripley,Jeremiah,Ripley,Coventry,Tolland County,CT,US,town,Jeremiah Ripley
153,Josiah Phelps,Josiah,Phelps,Windsor,Hartford County,CT,US,town,Josiah Phelps
154,Nehemiah Child,Nehemiah,Child,Woodstock,Windham County,CT,US,town,Nehemiah Child
155,Nehemiah Child | Nehemiah Child Society Treasurer | Nehemiah Child Treasurer and Co,Nehemiah,Child,Woodstock,Windham County,CT,US,town,Nehemiah Child
156,Phineas Lewis,Phineas,Lewis,Farmington,Hartford County,CT,US,town,Phineas Lewis
157,Silas Mary Treasurer and Co | Silas May | Silas May Proprietors Treasurer,Silas,Mary,Woodstock,Windham County,CT,US,town,Silas Mary | Silas May
157,Silas Mary Treasurer and Co | Silas May | Silas May Proprietors Treasurer,Silas,May,Woodstock,Windham County,CT,US,town,Silas Mary | Silas May
158,Samuel Doggett,Samuel,Doggett,Coventry,Tolland County,CT,US,town,Samuel Doggett
159,Elijah House,Elijah,House,Coventry,Tolland County,CT,US,town,Elijah House
160,Samuel Williams,Samuel,Williams,Brooklyn,Windham County,CT,US,town,Samuel Williams
162,John Chenevard,John,Chenevard,Hartford,Hartford County,CT,US,town,John Chenevard
163,John Deshon,John,Deshon,New London,New London County,CT,US,town,John Deshon
164,Christopher Leffingwell,Christopher,Leffingwell,Norwich,New London County,CT,US,town,Christopher Leffingwell
165,David Rowland,David,Rowland,Windsor,Hartford County,CT,US,town,David Rowland
166,Norman Butler,Norman,Butler,Hartford,Hartford County,CT,US,town,Norman Butler
167,Sherman Rowland,Sherman,Rowland,Windsor,Hartford County,CT,US,town,Sherman Rowland
168,Asa Stephens | Asa Stevens,Asa,Stephens,,,VT,US,state,Asa Stephens | Asa Stevens
168,Asa Stephens | Asa Stevens,Asa,Stevens,,,VT,US,state,Asa Stephens | Asa Stevens
169,Hezekiah Brainard,Hezekiah,Brainard,Haddam,Middlesex County,CT,US,town,Hezekiah Brainard
171,John Phelps,John,Phelps,Stafford,Tolland County,CT,US,town,John Phelps
172,Charles Sheldon,Charles,Sheldon,Springfield,Hampshire County,MA,US,town,Charles Sheldon
173,John Robbins,John,Robbins,Wethersfield,Hartford County,CT,US,town,John Robbins
174,Elias Williams,Elias,Williams,Wethersfield,Hartford County,CT,US,town,Elias Williams
175,Elial Williams,Elial,Williams,Wethersfield,Hartford County,CT,US,town,Elial Williams
176,Elias Williams,Elias,Williams,Wethersfield,Hartford County,CT,US,town,Elias Williams
177,William Joseph and Richard Hart,Richard,Hart,Hartford,Hartford County,CT,US,town,Richard Hart | William Joseph
177,William Joseph and Richard Hart,William,Joseph,Hartford,Hartford County,CT,US,town,Richard Hart | William Joseph
178,Daniel Edgerton,Daniel,Edgerton,Tolland,Tolland County,CT,US,town,Daniel Edgerton
179,Thomas Starr,Thomas,Starr,Danbury,Fairfield County,CT,US,town,Thomas Starr
180,Ephraim Starr,Ephraim,Starr,Goshen,Litchfield County,CT,US,town,Ephraim Starr
182,William Morris,William,Morris,Woodstock,Windham County,CT,US,town,William Morris
183,Benjamin Case,Benjamin,Case,Coventry,Tolland County,CT,US,town,Benjamin Case
184,John Coburn,John,Coburn,Boston,Suffolk County,MA,US,town,John Coburn
185,Andrew Eliot | Andrew Elliot,andrew,Eliot,Fairfield,Fairfield County,CT,US,town,andrew Eliot | andrew Elliot
185,Andrew Eliot | Andrew Elliot,andrew,Elliot,Fairfield,Fairfield County,CT,US,town,andrew Eliot | andrew Elliot
186,Eliphalet Hull,Eliphalet,Hull,Fairfield,Fairfield County,CT,US,town,Eliphalet Hull
187,Isaac Jennings,Isaac,Jennings,Fairfield,Fairfield County,CT,US,town,Isaac Jennings
188,Martin Kellogg,Martin,Kellogg,Newington,Hartford County,CT,US,town,Martin Kellogg
189,Jonathan Sturges,Jonathan,Sturges,Fairfield,Fairfield County,CT,US,town,Jonathan Sturges
190,Josiah Hale,Josiah,Hale,Glastonbury,Hartford County,CT,US,town,Josiah Hale
191,Ichabod Warner,Ichabod,Warner,Bolton,Tolland County,CT,US,town,Ichabod Warner
192,Seth Bird,Seth,Bird,Litchfield,Litchfield County,CT,US,town,Seth Bird
193,James Hooker,James,Hooker,Windsor,Hartford County,CT,US,town,James Hooker
194,Jabez Clark,Jabez,Clark,Windham,Windham County,CT,US,town,Jabez Clark
195,Samuel Gray,Samuel,Gray,Windham,Windham County,CT,US,town,Samuel Gray
196,Samuel Kellogg,Samuel,Kellogg,Colchester,New London County,CT,US,town,Samuel Kellogg
197,Samuel Richards,Samuel,Richards,Farmington,Hartford County,CT,US,town,Samuel Richards
198,Joseph Strong,Joseph,Strong,Norwich,New London County,CT,US,town,Joseph Strong
199,Samuel Wales,Samuel,Wales,New Haven,New Haven County,CT,US,town,Samuel Wales
201,Seth Smith,Seth,Smith,East Lyme,New London County,CT,US,town,Seth Smith
202,Camp Adams,Camp,Adams,Wethersfield,Hartford County,CT,US,town,Camp Adams
203,David Austin,David,Austin,New Haven,New Haven County,CT,US,town,David Austin
204,Daniel Brown,Daniel,Brown,Hebron,Tolland County,CT,US,town,Daniel Brown
205,Adonijah Bidwell,Adonijah,Bidwell,Tyringham,Berkshire County,MA,US,town,Adonijah Bidwell
206,Samuel Foster,Samuel,Foster,Wethersfield,Hartford County,CT,US,town,Samuel Foster
207,Juliana Buckingham,Juliana,Buckingham,Milford,New Haven County,CT,US,town,Juliana Buckingham
208,Jonathan Bull | Jonathan Bull Treasurer and Co,Jonathan,Bull,Hartford,Hartford County,CT,US,town,Jonathan Bull
210,Charles Wadsworth,Charles,Wadsworth,Hartford,Hartford County,CT,US,town,Charles Wadsworth
211,Gideon Buckingham,Gideon,Buckingham,Milford,New Haven County,CT,US,town,Gideon Buckingham
212,Joshua Grosvenor,Joshua,Grosvenor,Pomfret,Windham County,CT,US,town,Joshua Grosvenor
213,Elisha Hale,Elisha,Hale,Glastonbury,Hartford County,CT,US,town,Elisha Hale
214,John Williams,John,Williams,Wethersfield,Hartford County,CT,US,town,John Williams
215,Thomas Grosvenor,Thomas,Grosvenor,Pomfret,Windham County,CT,US,town,Thomas Grosvenor
216,Esther Philips | Esther Phillips,Esther,Philips,Middletown,Middlesex County,CT,US,town,Esther Philips | Esther Phillips
216,Esther Philips | Esther Phillips,Esther,Phillips,Middletown,Middlesex County,CT,US,town,Esther Philips | Esther Phillips
217,Hope Warner,Hope,Warner,Middletown,Middlesex County,CT,US,town,Hope Warner
218,Joseph Munson,Joseph,Munson,New Haven,New Haven County,CT,US,town,Joseph Munson
219,Joseph Buckley | Joseph Bulkley,Joseph,Buckley,Wethersfield,Hartford County,CT,US,town,Joseph Buckley | Joseph Bulkley
219,Joseph Buckley | Joseph Bulkley,Joseph,Bulkley,Wethersfield,Hartford County,CT,US,town,Joseph Buckley | Joseph Bulkley
220,Simeon Jocelin,Simeon,Jocelin,New Haven,New Haven County,CT,US,town,Simeon Jocelin
221,Asiel Meraman,Asiel,Meraman,Wethersfield,Hartford County,CT,US,town,Asiel Meraman
222,Elisha Miller,Elisha,Miller,Farmington,Hartford County,CT,US,town,Elisha Miller
223,Gurdon Saltonstall | Gurdon Sattonstall,Gurdon,Saltonstall,New London,New London County,CT,US,town,Gurdon Saltonstall | Gurdon Sattonstall
223,Gurdon Saltonstall | Gurdon Sattonstall,Gurdon,Sattonstall,New London,New London County,CT,US,town,Gurdon Saltonstall | Gurdon Sattonstall
224,Abraham Pierson,Abraham,Pierson,Killingworth,Middlesex County,CT,US,town,Abraham Pierson
226,Elijah White,Elijah,White,Bolton,Tolland County,CT,US,town,Elijah White
227,Martin Lord,Martin,Lord,Killingworth,Middlesex County,CT,US,town,Martin Lord
228,Lemuel Sanders | Lemuel Saunders,Lemuel,Sanders,Sturbridge,Worcester County,MA,US,town,Lemuel Sanders | Lemuel Saunders
228,Lemuel Sanders | Lemuel Saunders,Lemuel,Saunders,Sturbridge,Worcester County,MA,US,town,Lemuel Sanders | Lemuel Saunders
229,Ebenezer Gay,Ebenezer,Gay,Suffield,Hartford County,CT,US,town,Ebenezer Gay
231,Nathaniel Townsend,Nathaniel,Townsend,Norwich,New London County,CT,US,town,Nathaniel Townsend
232,Thaddeus Leavitt,Thaddeus,Leavitt,Suffield,Hartford County,CT,US,town,Thaddeus Leavitt
233,Joshua Belden,Joshua,Belden,Wethersfield,Hartford County,CT,US,town,Joshua Belden
234,Samuel Hooker,Samuel,Hooker,Berlin,Hartford County,CT,US,town,Samuel Hooker
235,Samuel Abby,Samuel,Abby,East Hampton,Middlesex County,CT,US,town,Samuel Abby
236,Francis Deming,Francis,Deming,Wethersfield,Hartford County,CT,US,town,Francis Deming
237,Henry Channing,Henry,Channing,New London,New London County,CT,US,town,Henry Channing
238,Anne McCurdy,Anne,Mccurdy,East Lyme,New London County,CT,US,town,Anne Mccurdy
239,Richard McCurdy,Richard,Mccurdy,East Lyme,New London County,CT,US,town,Richard Mccurdy
240,Lynde McCurdy,Lynde,Mccurdy,Norwich,New London County,CT,US,town,Lynde Mccurdy
241,Thomas Clark,Thomas,Clark,Derby,New Haven County,CT,US,town,Thomas Clark
242,William Coit,William,Coit,Norwich,New London County,CT,US,town,William Coit
245,Elizabeth Brown,Elizabeth,Brown,Newport,Newport County,RI,US,town,Elizabeth Brown
246,Squier Cady,Squier,Cady,Plainfield,Windham County,CT,US,town,Squier Cady
247,Anthony Bradford and Stephen Hall,Anthony,Bradford,Plainfield,Windham County,CT,US,town,Anthony Bradford | Stephen Hall
247,Anthony Bradford and Stephen Hall,Stephen,Hall,Plainfield,Windham County,CT,US,town,Anthony Bradford | Stephen Hall
248,John Griswold,John,Griswold,East Lyme,New London County,CT,US,town,John Griswold
249,Ozias Pettibone,Ozias,Pettibone,Granby,Hartford County,CT,US,town,Ozias Pettibone
250,Stephen Johnson,Stephen,Johnson,East Lyme,New London County,CT,US,town,Stephen Johnson
251,Martha Williams,Martha,Williams,Brooklyn,Windham County,CT,US,town,Martha Williams
252,Benjamin Wood,Benjamin,Wood,,,NY,US,state,Benjamin Wood
253,Martha Fairchild,Martha,Fairchild,Fairfield,Fairfield County,CT,US,town,Martha Fairchild
254,Abiel Griswold,Abiel,Griswold,Windsor,Hartford County,CT,US,town,Abiel Griswold
255,Reuben Norton,Reuben,Norton,Farmington,Hartford County,CT,US,town,Reuben Norton
256,Benjamin Webster,Benjamin,Webster,Hartford,Hartford County,CT,US,town,Benjamin Webster
257,Nathan Chittenden,Nathan,Chittenden,Guilford,New Haven County,CT,US,town,Nathan Chittenden
258,Samuel Robinson,Samuel,Robinson,Guilford,New Haven County,CT,US,town,Samuel Robinson
259,Jeremiah Wadsworth,Jeremiah,Wadsworth,Hartford,Hartford County,CT,US,town,Jeremiah Wadsworth
260,Isaac Gallup,Isaac,Gallup,Groton,New London County,CT,US,town,Isaac Gallup
261,Thomas Giles,Thomas,Giles,Groton,New London County,CT,US,town,Thomas Giles
262,Charles Eldridge,Charles,Eldridge,Groton,New London County,CT,US,town,Charles Eldridge
263,Benadam Gallup,Benadam,Gallup,Groton,New London County,CT,US,town,Benadam Gallup
264,Eunice Lamb,Eunice,Lamb,Groton,New London County,CT,US,town,Eunice Lamb
265,James Stoddard,James,Stoddard,Groton,New London County,CT,US,town,James Stoddard
