row_id,old,new,type,state
31,"{'Reading Pennsylvania', 'Reading'}",Reading Pennsylvania,town,PA
32,"{'Northampton', 'Northampton County Pennsylvania'}",Northampton County Pennsylvania,town,PA
33,"{'Chester County Pennsylvaina', 'Chester County'}",Chester County Pennsylvaina,town,PA
34,"{'Philadelphia', 'Chester County Pennsylvaina'}",Chester County Pennsylvaina,town,PA
35,"{'Philadelphia', 'Northern Liberties'}",Northern Liberties,town,PA
36,"{'Northumberland', 'Northum County Pennsylvania'}",Northum County Pennsylvania,town,PA
37,"{'Chambersburg', 'Chambersburgh Pennsylvania'}",Chambersburgh Pennsylvania,town,PA
38,"{'Chester County Pennsylvania', 'Chester County'}",Chester County Pennsylvania,town,PA
39,"{'Dauphin County', 'Dauphincoy Pennsylvania'}",Dauphincoy Pennsylvania,town,PA
40,"{'Cape May N Jersey', 'Cape May New Jersey'}",Cape May New Jersey,town,PA
41,"{'York County', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
42,"{'Cumberland County', 'Cumb County Pennsylvania'}",Cumb County Pennsylvania,town,PA
43,"{'Delaware State', 'Delaware'}",Delaware State,town,PA
44,"{'Northampton County Pennsylvania', 'Northampton County'}",Northampton County Pennsylvania,town,PA
45,"{'Mount Holly New Jersey', 'Mount Holley New Jersey'}",Mount Holley New Jersey,town,PA
46,"{'Allegany County', 'Allegheny County Pennsylvania'}",Allegheny County Pennsylvania,town,PA
47,"{'Kensington', 'Kensignton'}",Kensington,town,PA
48,"{'Burlington New Jersey', 'Burlington'}",Burlington New Jersey,town,PA
49,"{'Allegany County', 'Allegheny County'}",Allegheny County,town,PA
50,"{'Chester and County', 'Chester County'}",Chester and County,town,PA
51,"{'Bordentown', 'Borden Town'}",Borden Town,town,PA
52,"{'Germantown', 'German Town'}",German Town,town,PA
53,"{'Westmoreland County', 'Westmoreland'}",Westmoreland County,town,PA
54,"{'New Jersey', 'Middlesex New Jersey'}",Middlesex New Jersey,town,PA
55,"{'Bucks County Pennsylvania', 'Bucks County'}",Bucks County Pennsylvania,town,PA
56,"{'The Northern Libert', 'Philadelphia'}",The Northern Libert,town,PA
57,"{'Lancaster County', 'Lancaster'}",Lancaster County,town,PA
58,"{'Kent Company Delaware', 'Kent County'}",Kent Company Delaware,town,PA
59,"{'Northumberland', 'Northumberland County'}",Northumberland County,town,PA
60,"{'North Libert', 'Northern Liberties'}",Northern Liberties,town,PA
61,"{'Princeton New Jersey', 'Prince Town'}",Princeton New Jersey,town,PA
62,"{'Pennsylvania', 'Northampton County'}",Northampton County,town,PA
63,"{'Virginia', 'King George Co Virginia'}",King George Co Virginia,town,PA
64,"{'Wilmington Delaware', 'Wilmington'}",Wilmington Delaware,town,PA
65,"{'Montgomery County', 'Montgomery County Pennsylvania'}",Montgomery County Pennsylvania,town,PA
66,"{'Burlington New Jersey', 'Berlington New Jersey'}",Burlington New Jersey,town,PA
67,"{'Northumberland County Pennsylvania', 'Northern and County Pennsylvania'}",Northumberland County Pennsylvania,town,PA
68,"{'The Northern Libs', 'Northern Liberties'}",Northern Liberties,town,PA
69,"{'Sundry Pennsylvania', 'Sunbury Pennsylvania'}",Sunbury Pennsylvania,town,PA
70,"{'Franklin County Pennsylvania', 'Franklin County'}",Franklin County Pennsylvania,town,PA
71,"{'Philadelphia', 'Church on Philadelphia'}",Church on Philadelphia,town,PA
72,"{'New Castle County', 'New Castle County Delaware State'}",New Castle County Delaware State,town,PA
73,"{'Berks County Pennsylvania', 'Berks and County'}",Berks County Pennsylvania,town,PA
74,"{'Chester County', 'Chester'}",Chester County,town,PA
75,"{'Philadelphia', 'Westmoreland County'}",Westmoreland County,town,PA
76,"{'Westmoreland County', 'Westmoreland County Pennsylvania'}",Westmoreland County Pennsylvania,town,PA
77,"{'North County', 'Northumberland County'}",Northumberland County,town,PA
78,"{'Northumberland County', 'Northampton County'}",Northumberland County,town,PA
79,"{'Northumberland', 'Northampton County'}",Northampton County,town,PA
80,"{'Somerset County New Jersey', 'New Jersey'}",Somerset County New Jersey,town,PA
81,"{'York Town', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
82,"{'York County', 'York Town'}",York County,town,PA
83,"{'York Town', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
84,"{'Merchants', 'Merchant'}",Merchants,occupation,PA
85,"{'Executor', 'Executer'}",Executor,occupation,PA
86,"{'Marchant', 'Merchant'}",Marchant,occupation,PA
87,"{'Ex of William Honeyman', 'Executor'}",Ex of William Honeyman,occupation,PA
88,"{'Adm to Estate of Job Vernon', 'Administer of the estate of Job Vernon'}",Administer of the estate of Job Vernon,occupation,PA
89,"{'Executor to the Estate of John Holmes deceased', 'Ex to the Estate John Holmes'}",Executor to the Estate of John Holmes deceased,occupation,PA
90,"{'Ex to the Est of Jacob Coleman deceased', 'Executor to the Estate of Jacob Coleman deceased'}",Executor to the Estate of Jacob Coleman deceased,occupation,PA
91,"{'Junior Broker', 'Broker'}",Junior Broker,occupation,PA
92,"{'Ex to the Estate Abraham Hull', 'Executor to the Estate Abraham Hull deceased'}",Executor to the Estate Abraham Hull deceased,occupation,PA
93,"{'Ex to Esate of Francis Hopkins', 'Executor to the Estate of Francis Hopkinson deceased'}",Executor to the Estate of Francis Hopkinson deceased,occupation,PA
94,"{'Administrator to Estate of Frederick Faring Deceased', 'Admin to the the Estate of Frederick Faring'}",Administrator to Estate of Frederick Faring Deceased,occupation,PA
95,"{'Ex Philadelphia County', 'Esquier'}",Ex Philadelphia County,occupation,PA
96,"{'Shipwright', 'Ship Wright'}",Ship Wright,occupation,PA
97,"{'Guardian to Adam Guier', 'Guardian to Adam Grier'}",Guardian to Adam Guier,occupation,PA
98,"{'Executor to Estate of John Hart deceased', 'Ex to the Estate of John Hart Deceased'}",Executor to Estate of John Hart deceased,occupation,PA
99,"{'Administrator of Daniel Joy Deceased', 'One of the Administrators of Daniel Joy Deceased'}",One of the Administrators of Daniel Joy Deceased,occupation,PA
100,"{'Executor to the Estate of Hugh Patton deceased', 'Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'}",Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown,occupation,PA
101,"{'Guadian to George Lawrence Young', 'Guardian for George Lawrence Young'}",Guardian for George Lawrence Young,occupation,PA
102,"{'Executor Samuel Inglis', 'Executer of Samuel Inglis'}",Executer of Samuel Inglis,occupation,PA
103,"{'Administer Estate of Richard Walker Deceased', 'Adm to Est of Richard Walker Deceased'}",Administer Estate of Richard Walker Deceased,occupation,PA
104,"{'Property of Mathematics', 'Mathematician'}",Property of Mathematics,occupation,PA
105,"{'Printer in Trust for Jennet Thompson', 'Interest for Jennet Thompson'}",Printer in Trust for Jennet Thompson,occupation,PA
106,"{'Trustee for the use of the legal representation of Thomas Albertson Deceased', 'Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased'}",Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased,occupation,PA
107,"{'Adm of Alexander McCaraher late of Chester County Deceased', 'Administratrix of Alexander McCaraher deceased'}",Adm of Alexander McCaraher late of Chester County Deceased,occupation,PA
108,"{'Cordwainder', 'Cordwainer'}",Cordwainder,occupation,PA
109,"{'Esquire', 'Merchant'}",Merchant,occupation,PA
110,"{'Shop Keeper', 'Shopkeeper'}",Shop Keeper,occupation,PA
111,"{'in trust for the Estate of Robert Dill', 'Trust for the Estate of Robert Dill'}",in trust for the Estate of Robert Dill,occupation,PA
112,"{'Adm to the Est of William Barrell Decesed', 'Administrator to the Estate of William Barrell Deceased'}",Administrator to the Estate of William Barrell Deceased,occupation,PA
113,"{'In trust for Jacobus Van Eis of Somerset County New Jersey', 'Trust for Jacobus Van Eis of Somerset'}",In trust for Jacobus Van Eis of Somerset County New Jersey,occupation,PA
114,"{'Glocester', 'Gloucester'}",Gloucester,town,RI
115,"{'Charlestown', 'Chalestown'}",Charlestown,town,RI
116,"{'North Kingstone', 'North Kingston'}",North Kingstone,town,RI
117,"{'North Kingstown', 'North Kingston'}",North Kingstown,town,RI
118,"{'Smithfeild', 'Smithfield'}",Smithfeild,town,RI
119,"{'Camden', 'Camden Planter'}",Camden Planter,town,SC
120,"{'Pee Dee', 'Peedee'}",Pee Dee,town,SC
121,"{'Long Cames', 'Long Cane'}",Long Cames,town,SC
122,"{'Charleston', 'Charlestom'}",Charleston,town,SC
123,"{'as Executor to John Couturier', 'as Executor to Henry Coram'}",as Executor to John Couturier,occupation,SC
124,"{'as Executor Ely Kershaw', 'Planter as Executor Ely Kershaw'}",Planter as Executor Ely Kershaw,occupation,SC
125,"{'Philip Hawkins', 'Executor Philip Hawkins'}",Executor Philip Hawkins,occupation,SC
126,"{'as Guardian to Mary Deborah L. Gowdey', 'Guardian to Mary Deborah L. Gowdey'}",as Guardian to Mary Deborah L. Gowdey,occupation,SC
127,"{'Merchants', 'Charleston Merchants'}",Charleston Merchants,occupation,SC
